iter	Passed	Remaining
0	0	86
1	1	79
2	3	116
3	5	127
4	7	133
5	8	136
6	10	137
7	11	136
8	13	136
9	15	135
10	16	136
11	18	136
12	20	135
13	22	136
14	23	135
15	25	135
16	27	136
17	29	135
18	32	136
19	34	136
20	36	136
21	38	135
22	40	134
23	42	133
24	44	132
25	46	132
26	48	131
27	50	130
28	52	129
29	54	128
30	57	127
31	59	125
32	60	123
33	62	121
34	64	119
35	65	117
36	67	114
37	68	112
38	70	110
39	71	107
40	72	104
41	73	101
42	74	98
43	75	96
44	77	94
45	78	91
46	79	89
47	80	87
48	81	84
49	82	82
50	83	80
51	84	77
52	85	75
53	86	73
54	86	71
55	87	68
56	88	66
57	89	64
58	90	62
59	91	60
60	91	58
61	92	56
62	93	54
63	94	53
64	95	51
65	96	49
66	96	47
67	97	45
68	98	44
69	99	42
70	100	40
71	100	39
72	101	37
73	102	35
74	103	34
75	103	32
76	104	31
77	105	29
78	105	28
79	106	26
80	107	25
81	108	23
82	109	22
83	109	20
84	110	19
85	111	18
86	112	16
87	113	15
88	113	14
89	114	12
90	115	11
91	116	10
92	117	8
93	117	7
94	118	6
95	119	4
96	119	3
97	120	2
98	121	1
99	121	0
